Experiment,Baseline_Acc,Ensemble_Acc,Seeds
1,0.86337395766517,0.8531109685695959,"[45426, 1527, 11702]"
2,0.8678640153944837,0.8524695317511225,"[58966, 92105, 54654]"
3,0.8672225785760103,0.86337395766517,"[45849, 77639, 27736]"
4,0.8537524053880693,0.8627325208466966,"[36593, 98119, 86417]"
5,0.8537524053880693,0.8614496472097498,"[51794, 40857, 8634]"
6,0.8678640153944837,0.8620910840282232,"[34145, 83460, 55017]"
7,0.8588838999358563,0.8531109685695959,"[82331, 18284, 56303]"
8,0.8691468890314304,0.8620910840282232,"[82532, 35233, 77653]"
9,0.8755612572161642,0.8640153944836434,"[67556, 31850, 46351]"
10,0.8576010262989096,0.8537524053880693,"[90782, 52345, 19784]"
11,0.8697883258499037,0.8691468890314304,"[15969, 61388, 90064]"
12,0.86337395766517,0.8537524053880693,"[29912, 11073, 6365]"
13,0.8569595894804362,0.849903784477229,"[78490, 7065, 91725]"
14,0.8652982681205901,0.8614496472097498,"[16354, 34848, 56119]"
15,0.8608082103912764,0.8505452212957024,"[20493, 99742, 28151]"
16,0.8652982681205901,0.8524695317511225,"[33058, 74999, 10873]"
17,0.8588838999358563,0.86337395766517,"[10258, 40891, 20934]"
18,0.8563181526619628,0.8652982681205901,"[25804, 57900, 89991]"
19,0.8646568313021168,0.8588838999358563,"[19336, 45814, 45114]"
20,0.8697883258499037,0.8704297626683771,"[68927, 27241, 88538]"
21,0.8576010262989096,0.8531109685695959,"[92219, 76683, 87203]"
22,0.8646568313021168,0.8620910840282232,"[93657, 77408, 25254]"
23,0.8614496472097498,0.868505452212957,"[83623, 50197, 52645]"
24,0.86337395766517,0.8646568313021168,"[17550, 66694, 28380]"
25,0.868505452212957,0.8556767158434894,"[52214, 18118, 40081]"
26,0.8595253367543297,0.8614496472097498,"[73248, 71092, 23943]"
27,0.8665811417575369,0.8595253367543297,"[93329, 40403, 80047]"
28,0.8652982681205901,0.8492623476587556,"[78688, 46305, 70561]"
29,0.8640153944836434,0.8595253367543297,"[63255, 22765, 89974]"
30,0.8627325208466966,0.8505452212957024,"[81065, 98386, 16352]"
31,0.8601667735728031,0.8652982681205901,"[58393, 98276, 93603]"
32,0.8595253367543297,0.8537524053880693,"[88783, 66214, 32113]"
33,0.8672225785760103,0.8620910840282232,"[26356, 73893, 73842]"
34,0.8595253367543297,0.8640153944836434,"[22140, 72409, 52513]"
35,0.8627325208466966,0.8505452212957024,"[88159, 92076, 81733]"
36,0.8678640153944837,0.8665811417575369,"[9796, 7265, 27991]"
37,0.8620910840282232,0.8595253367543297,"[54976, 2218, 1663]"
38,0.8652982681205901,0.8563181526619628,"[96674, 53443, 12672]"
39,0.8601667735728031,0.8569595894804362,"[78511, 97425, 64478]"
40,0.8595253367543297,0.8640153944836434,"[16375, 33839, 46249]"
41,0.8710711994868505,0.8556767158434894,"[77814, 60525, 73570]"
42,0.8652982681205901,0.8665811417575369,"[21774, 54268, 79077]"
43,0.86337395766517,0.8614496472097498,"[97650, 23664, 27959]"
44,0.8620910840282232,0.8550352790250161,"[46580, 98607, 18990]"
45,0.8646568313021168,0.8531109685695959,"[29056, 6528, 15211]"
46,0.8627325208466966,0.8665811417575369,"[94199, 13889, 11849]"
47,0.8576010262989096,0.8723540731237973,"[98111, 49647, 82660]"
48,0.8640153944836434,0.8627325208466966,"[47729, 50095, 48749]"
49,0.8659397049390635,0.8601667735728031,"[13919, 52772, 69416]"
50,0.8640153944836434,0.849903784477229,"[15913, 29806, 46484]"
51,0.8678640153944837,0.8608082103912764,"[36952, 99418, 27623]"
52,0.8537524053880693,0.8550352790250161,"[83089, 60995, 90685]"
53,0.8691468890314304,0.8576010262989096,"[18272, 50756, 68091]"
54,0.8576010262989096,0.8537524053880693,"[71201, 65946, 9503]"
55,0.8704297626683771,0.8614496472097498,"[5143, 5478, 2321]"
56,0.8627325208466966,0.8537524053880693,"[21266, 76597, 86543]"
57,0.8659397049390635,0.8569595894804362,"[7923, 68976, 67382]"
58,0.8595253367543297,0.8505452212957024,"[51372, 1914, 60953]"
59,0.8691468890314304,0.8672225785760103,"[4611, 56081, 88905]"
60,0.8608082103912764,0.8704297626683771,"[36290, 21184, 28499]"
61,0.8652982681205901,0.8595253367543297,"[70021, 82137, 37776]"
62,0.8678640153944837,0.8569595894804362,"[28835, 5805, 12549]"
63,0.8659397049390635,0.8550352790250161,"[39044, 48202, 32495]"
64,0.8646568313021168,0.8588838999358563,"[50731, 37815, 57864]"
65,0.86337395766517,0.8627325208466966,"[64713, 65266, 84316]"
66,0.8704297626683771,0.8569595894804362,"[49632, 5511, 81846]"
67,0.8729955099422707,0.8601667735728031,"[98779, 21504, 90700]"
68,0.8608082103912764,0.8505452212957024,"[62115, 97888, 27924]"
69,0.8672225785760103,0.86337395766517,"[14772, 41082, 63067]"
70,0.8723540731237973,0.8537524053880693,"[18707, 60732, 49198]"
71,0.8614496472097498,0.8614496472097498,"[27667, 58897, 31615]"
72,0.8601667735728031,0.8640153944836434,"[405, 15142, 74411]"
73,0.868505452212957,0.8556767158434894,"[83764, 18004, 56527]"
74,0.8640153944836434,0.8543938422065427,"[93796, 78754, 66822]"
75,0.8659397049390635,0.8569595894804362,"[69272, 41963, 19459]"
76,0.8614496472097498,0.8672225785760103,"[2428, 79475, 17899]"
77,0.8614496472097498,0.8576010262989096,"[8950, 83026, 63628]"
78,0.8659397049390635,0.8640153944836434,"[67303, 1593, 62410]"
79,0.8723540731237973,0.8460551635663887,"[92163, 47681, 96904]"
80,0.8659397049390635,0.86337395766517,"[89982, 90256, 42193]"
81,0.8762026940346376,0.8665811417575369,"[81435, 13535, 21845]"
82,0.86337395766517,0.8627325208466966,"[36872, 97846, 48361]"
83,0.8665811417575369,0.8556767158434894,"[59747, 15292, 87017]"
84,0.8543938422065427,0.8620910840282232,"[14224, 56643, 43504]"
85,0.8697883258499037,0.858242463117383,"[20337, 44091, 44835]"
86,0.868505452212957,0.8717126363053239,"[192, 40800, 77327]"
87,0.8550352790250161,0.858242463117383,"[32691, 53311, 66788]"
88,0.8646568313021168,0.8576010262989096,"[55577, 34110, 4438]"
89,0.8620910840282232,0.8595253367543297,"[51536, 9714, 42873]"
90,0.8627325208466966,0.8505452212957024,"[74282, 59857, 62679]"
91,0.8640153944836434,0.868505452212957,"[23745, 60186, 10314]"
92,0.8601667735728031,0.8646568313021168,"[28537, 59525, 11553]"
93,0.8601667735728031,0.8646568313021168,"[85288, 46942, 44346]"
94,0.8556767158434894,0.8608082103912764,"[8546, 58589, 93156]"
95,0.8646568313021168,0.8543938422065427,"[34851, 58623, 15932]"
96,0.8595253367543297,0.8537524053880693,"[60080, 17102, 15709]"
97,0.8691468890314304,0.8620910840282232,"[82678, 23733, 84895]"
98,0.86337395766517,0.8537524053880693,"[58734, 98374, 15430]"
99,0.8723540731237973,0.8665811417575369,"[39277, 75875, 39645]"
100,0.8640153944836434,0.8678640153944837,"[12554, 57350, 23768]"

Average,0.8639640795381655,0.8594676074406671
StdDev,0.004799796551456551,0.005835650883208568
